Date,Visitor,PTS,Home,PTS
Fri May 24 2019,Dallas Wings,72,Atlanta Dream,76
Fri May 24 2019,Indiana Fever,81,New York Liberty,80
Sat May 25 2019,Washington Mystics,69,Connecticut Sun,84
Sat May 25 2019,Chicago Sky,71,Minnesota Lynx,89
Sat May 25 2019,Phoenix Mercury,68,Seattle Storm,77
Sun May 26 2019,Los Angeles Sparks,70,Las Vegas Aces,83
Tue May 28 2019,Indiana Fever,77,Connecticut Sun,88
Wed May 29 2019,Seattle Storm,61,Minnesota Lynx,72
Fri May 31 2019,Seattle Storm,82,Atlanta Dream,66
Fri May 31 2019,Connecticut Sun,70,Los Angeles Sparks,77
Fri May 31 2019,Las Vegas Aces,84,Phoenix Mercury,86
Sat Jun 1 2019,Seattle Storm,79,Chicago Sky,83
Sat Jun 1 2019,Minnesota Lynx,70,Dallas Wings,67
Sat Jun 1 2019,New York Liberty,77,Indiana Fever,92
Sat Jun 1 2019,Atlanta Dream,75,Washington Mystics,96
Sun Jun 2 2019,Connecticut Sun,80,Las Vegas Aces,74
Tue Jun 4 2019,Los Angeles Sparks,78,New York Liberty,73
Tue Jun 4 2019,Minnesota Lynx,77,Seattle Storm,84
Wed Jun 5 2019,Chicago Sky,85,Washington Mystics,103
Thu Jun 6 2019,Las Vegas Aces,92,Atlanta Dream,69
Thu Jun 6 2019,Los Angeles Sparks,77,Connecticut Sun,89
Thu Jun 6 2019,Phoenix Mercury,56,Minnesota Lynx,58
Fri Jun 7 2019,Dallas Wings,64,Indiana Fever,79
Fri Jun 7 2019,Washington Mystics,94,New York Liberty,85
Sat Jun 8 2019,Los Angeles Sparks,89,Minnesota Lynx,85
Sun Jun 9 2019,Connecticut Sun,65,Atlanta Dream,59
Sun Jun 9 2019,Seattle Storm,71,Chicago Sky,78
Sun Jun 9 2019,Phoenix Mercury,94,Indiana Fever,87
Sun Jun 9 2019,Las Vegas Aces,78,New York Liberty,88
Sun Jun 9 2019,Dallas Wings,62,Washington Mystics,86
Tue Jun 11 2019,Phoenix Mercury,75,Chicago Sky,82
Tue Jun 11 2019,Washington Mystics,75,Connecticut Sun,83
Tue Jun 11 2019,Seattle Storm,84,Indiana Fever,82
Wed Jun 12 2019,Minnesota Lynx,69,New York Liberty,75
Thu Jun 13 2019,Indiana Fever,76,Dallas Wings,72
Fri Jun 14 2019,New York Liberty,65,Las Vegas Aces,100
Fri Jun 14 2019,Connecticut Sun,85,Minnesota Lynx,81
Fri Jun 14 2019,Los Angeles Sparks,85,Phoenix Mercury,68
Fri Jun 14 2019,Seattle Storm,74,Washington Mystics,71
Sat Jun 15 2019,Atlanta Dream,61,Dallas Wings,71
Sat Jun 15 2019,Chicago Sky,70,Indiana Fever,64
Sat Jun 15 2019,New York Liberty,98,Los Angeles Sparks,92
Sun Jun 16 2019,Seattle Storm,67,Connecticut Sun,81
Sun Jun 16 2019,Las Vegas Aces,80,Minnesota Lynx,75
Tue Jun 18 2019,Washington Mystics,81,Los Angeles Sparks,52
Wed Jun 19 2019,Indiana Fever,78,Atlanta Dream,88
Wed Jun 19 2019,Chicago Sky,91,New York Liberty,83
Thu Jun 20 2019,Phoenix Mercury,54,Dallas Wings,69
Thu Jun 20 2019,Washington Mystics,95,Las Vegas Aces,72
Fri Jun 21 2019,Indiana Fever,76,Chicago Sky,69
Fri Jun 21 2019,Atlanta Dream,76,Connecticut Sun,86
Fri Jun 21 2019,Los Angeles Sparks,62,Seattle Storm,84